,Aaron,Audun,Hauke,Julian,Marcel,Stephan
Bahrain,119,140,144,248,98,248
Saudi Arabia,146,144,187,223,100,223
Australia,100,171,162,192,124,192
Emilia Romagna,169,199,248,217,190,217
Miami,146,128,152,249,0,249
Spain,130,153,100,131,173,131
Monaco,164,178,128,144,102,144
Azerbaijan,153,109,117,84,171,84
Canada,169,73,113,196,63,196
Britain,106,187,138,120,179,120
Austria,176,148,266,301,167,301
France,153,119,100,109,142,109
Hungary,142,103,121,122,153,122
Belgium,148,126,119,144,135,144
Netherlands,149,127,171,185,123,185
Italy,121,133,152,186,167,186
Singapore,131,231,204,174,114,174
Japan,118,147,154,190,170,190
United States,97,142,208,148,184,148
Mexico,129,113,123,145,117,145
Brazil,180,142,97,207,129,207
Abu Dhabi,145,176,186,204,83,204
